,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
103,104,3.9999977161642166e-07,2.0020000010845252e-05,1.5139999959501438e-05,0.0003383600000233855,2.1740000011050143e-05,0.00033159999984491153,0.0007357599999522791,0.0004473599998163991
104,105,3.2000025385059416e-07,1.795999996829778e-05,1.5419999908772297e-05,0.0003468800001428463,2.210000020568259e-05,0.00031825999976717865,0.000739880000037374,0.00045280000013008247
105,106,3.7999998312443497e-07,2.1239999841782265e-05,1.4820000069448725e-05,0.0003451400003541494,2.252000012958888e-05,0.00034527999996498694,0.0007656199999473756,0.0004195000001345761
106,107,3.5999983083456755e-07,2.0740000036312267e-05,1.3620000027003698e-05,0.00031157999983406627,2.1399999968707562e-05,0.0002917000001616543,0.0007059999999910361,0.00041744000009202864
107,108,3.4000004234258085e-07,1.8020000061369502e-05,1.5659999917261302e-05,0.00030676000023959203,2.1460000061779284e-05,0.0003167400001984788,0.0007185400001617382,0.00042036000013467856
108,109,2.5999979698099195e-07,1.5360000179498457e-05,1.3419999959296547e-05,0.0003117000000202097,2.1779999951831996e-05,0.00034812000012607314,0.0007318799998756731,0.00046113999997032806
109,110,2.9999973776284606e-07,2.0339999900897963e-05,1.3720000060857273e-05,0.000319600000148057,2.2059999901102854e-05,0.0003440000000409782,0.0007472400000551715,0.00043272000002616553
110,111,3.7999998312443497e-07,2.141999975719955e-05,1.4000000010128134e-05,0.0003279800002928823,2.209999984188471e-05,0.00036229999968782065,0.000749339999674703,0.00043293999988236465
111,112,2.7999994927085937e-07,1.988000003620982e-05,1.4480000027106144e-05,0.0003203199998097261,2.2159999934956433e-05,0.0003522399998473702,0.0008098400001472327,0.00044336000028124547
112,113,3.0000010156072674e-07,1.98199999431381e-05,1.449999981559813e-05,0.0003252800001064315,2.263999995193444e-05,0.00037169999995967373,0.0007829000001947861,0.00044825999975728337
113,114,2.7999994927085937e-07,1.8400000044493936e-05,1.5500000154133885e-05,0.0003354200001922436,2.474000029906165e-05,0.0003735599999345141,0.0007689599999139319,0.00045006000000284984
114,115,3.0000010156072674e-07,1.98199999431381e-05,1.4299999747890979e-05,0.0003280000000813743,2.2939999689697287e-05,0.00038425999991886783,0.0007974600001034559,0.0005110199999762699
115,116,2.7999994927085937e-07,1.914000022225082e-05,1.3899999976274557e-05,0.00033311999977740924,2.3399999918183312e-05,0.00039591999993717766,0.0008205800000723684,0.0004679600002418738
116,117,2.5999979698099195e-07,1.8060000002151355e-05,1.4080000255489722e-05,0.00034574000019347293,2.3240000155055894e-05,0.0003760600000532577,0.0009090999999898485,0.00047010000016598494
117,118,3.1999989005271343e-07,1.9980000070063396e-05,1.4319999900180847e-05,0.00033933999984583354,2.34800001635449e-05,0.0004025400001410162,0.0008950999999797205,0.00047664000012446193
118,119,3.0000010156072674e-07,2.202000032411888e-05,1.4119999832473695e-05,0.0003415200000745244,2.38199998420896e-05,0.0003982000001997221,0.0008523000000423053,0.0005078000001958571
119,120,3.4000004234258085e-07,2.1080000078654847e-05,1.4359999840962701e-05,0.0003546999996615341,2.3159999909694306e-05,0.0003874400001222966,0.0008614200000010896,0.00048428000009153037
120,121,3.0000010156072674e-07,2.0399999993969686e-05,1.4439999722526408e-05,0.0003451600001426414,2.6559999969322235e-05,0.0004269400000339374,0.000950139999986277,0.0004954200001520803
121,122,3.0000010156072674e-07,2.1039999774075112e-05,1.416000013705343e-05,0.0003509399997710716,2.3940000028233042e-05,0.00041500000006635676,0.0008808800001133931,0.0004984600000170758
122,123,4.799996531801298e-07,2.6400000206194817e-05,1.4459999874816276e-05,0.00036034000004292466,2.458000017213635e-05,0.00045372000022325665,0.0009330000000772997,0.0004919599999993806
123,124,3.0000010156072674e-07,2.029999996011611e-05,1.478000012866687e-05,0.00035707999995793216,2.494000000297092e-05,0.00043906000028073324,0.001000420000127633,0.0005253999999695225
124,125,3.0000010156072674e-07,2.2239999816520138e-05,1.5160000111791306e-05,0.0005563200000324286,3.553999995347113e-05,0.0006411800000932999,0.0011607799999183044,0.0005168600000615697
125,126,3.4000004234258085e-07,2.1360000027925706e-05,1.444000008632429e-05,0.0003625000001193257,2.4679999842192047e-05,0.00043537999990803653,0.0009321999998064712,0.0005115600000863196
126,127,3.0000010156072674e-07,1.9839999731630086e-05,1.4359999840962701e-05,0.0003710999997565523,2.5319999986095353e-05,0.000463339999987511,0.0009429800000361865,0.0005177200000616722
127,128,2.8000031306874005e-07,2.0519999816315247e-05,1.4880000162520445e-05,0.0003696200001286343,2.520000016374979e-05,0.00044199999974807723,0.001344059999973979,0.0005279199998767581
128,129,3.4000004234258085e-07,2.125999999407213e-05,1.4940000255592167e-05,0.0003761199997825315,2.5400000231456944e-05,0.0004625599998689722,0.0010253200001898223,0.000529380000079982
129,130,3.0000010156072674e-07,2.257999985886272e-05,1.4999999984866009e-05,0.0003869799998938106,2.5660000028437933e-05,0.0004900799998722505,0.0011561600000277394,0.0006271800000831717
130,131,3.5999983083456755e-07,2.8759999986505135e-05,1.706000002741348e-05,0.000435779999679653,2.7739999859477392e-05,0.0004880799999227747,0.0011558399997738888,0.0005664399999659508
131,132,3.4000004234258085e-07,2.1299999934853987e-05,1.5100000018719583e-05,0.00039214000025822315,2.646000029926654e-05,0.0004972199996700511,0.0010648400002537528,0.0005772599997726502
132,133,3.1999989005271343e-07,2.0700000095530414e-05,2.1600000036414712e-05,0.000406719999955385,2.638000005390495e-05,0.000506880000102683,0.0010949400002573384,0.0005643800002872012
133,134,3.399996785447001e-07,2.2300000273389743e-05,1.5419999908772297e-05,0.0004071600000315811,2.6360000265412965e-05,0.0005247599998256192,0.001119760000074166,0.0005744399997638539
134,135,3.2000025385059416e-07,2.1280000146362e-05,1.5379999967990444e-05,0.00039156000020739156,2.7179999960935675e-05,0.0005346199999621603,0.0011309800000162795,0.0005855199997313321
135,136,3.1999989005271343e-07,2.122000005329028e-05,1.5239999993355013e-05,0.00039575999981025236,2.7380000028642824e-05,0.0005316000002494548,0.0011495999999169726,0.0005857000000105472
136,137,2.7999994927085937e-07,2.1719999858760274e-05,1.5219999841065147e-05,0.0004018999999971129,2.761999967333395e-05,0.0005524000000150409,0.0012436999997589738,0.0006192799999553244
137,138,3.0000010156072674e-07,2.306000023963861e-05,1.58200000441866e-05,0.0004037800001242431,2.741999996942468e-05,0.0005746799997723429,0.001138379999974859,0.0006183200002851663
138,139,3.0000010156072674e-07,2.2779999926569872e-05,1.548000000184402e-05,0.0004054599998198682,2.7240000054007397e-05,0.0005462799999804702,0.0016256800001428929,0.0007307399999262997
139,140,3.5999983083456755e-07,2.4160000248230062e-05,1.689999990048818e-05,0.00047076000009838026,2.9660000291187316e-05,0.000588439999773982,0.0011766800002078527,0.0006295600000157719
140,141,3.4000004234258085e-07,2.2819999867351725e-05,1.658000001043547e-05,0.00041049999999813734,2.8079999901819973e-05,0.0005480799998622387,0.0016622999999526655,0.0006962600000406383
141,142,3.7999998312443497e-07,2.4659999689902178e-05,1.706000002741348e-05,0.0004725999999209307,2.983999984280672e-05,0.0005929400002059992,0.001223519999985001,0.000643320000017411
142,143,3.7999998312443497e-07,2.266000010422431e-05,1.5779999739606864e-05,0.0004196800000499934,2.930000009655487e-05,0.000599280000096769,0.0012362199999188307,0.0006521399998746346
143,144,3.1999989005271343e-07,2.2499999977299014e-05,1.568000006955117e-05,0.0004427199997735443,2.843999973265454e-05,0.0005839400000695605,0.0012057599997206125,0.0006193000001076144
144,145,3.2000025385059416e-07,2.2840000019641594e-05,1.5699999858043155e-05,0.00042691999988164753,2.879999992728699e-05,0.0005591199998889352,0.0012397400001646019,0.0006197200000315206
145,146,2.9999973776284606e-07,2.153999994334299e-05,1.5600000187987463e-05,0.00042461999983061104,2.899999999499414e-05,0.0005958599998848513,0.0012403199998516357,0.0006209199997101678
146,147,3.4000004234258085e-07,2.1460000061779284e-05,1.5859999984968452e-05,0.00043227999994996933,2.9059999724267983e-05,0.0006203400000231341,0.0012670000000071014,0.0006303599999228027
147,148,3.0000010156072674e-07,2.1599999672616833e-05,1.5840000196476466e-05,0.0004343799999332987,3.054000007978175e-05,0.0006358000002364861,0.001283060000059777,0.0006315000002359739
148,149,3.0000010156072674e-07,2.156000009563286e-05,1.5539999731117858e-05,0.0004342000000178814,3.006000006280374e-05,0.0006155600000056438,0.0013171399998100242,0.0006429400000342866
